
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
64,Ronnie Brewer,SF,28,HOU,23,158,3.5,.220,.233,.133,.533,1.5,8.0,4.9,8.2,1.9,0.5,11.2,5.0,77,109,-0.1,0.1,0.0,.004
64,Ronnie Brewer,G-F,28,CHI,1,2,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,110,0.0,0.0,0.0,.029
65,Aaron Brooks,PG,29,TOT,72,1557,12.5,.518,.484,.164,.427,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,105,110,1.3,0.9,2.2,.067
65,Aaron Brooks,PG,29,HOU,43,716,11.9,.529,.498,.167,.502,3.8,5.7,4.8,18.1,1.7,0.6,15.3,20.4,106,110,0.6,0.5,1.1,.076
65,Aaron Brooks,PG,29,DEN,29,841,12.9,.508,.472,.160,.365,2.6,7.5,5.0,27.7,1.6,0.6,16.2,20.5,104,111,0.6,0.4,1.0,.058
66,MarShon Brooks,SG,25,TOT,35,316,15.5,.551,.508,.352,.200,3.4,15.5,9.3,12.9,2.2,0.9,14.3,23.4,102,109,0.1,0.3,0.4,.060
66,MarShon Brooks,SG,25,BOS,10,73,10.7,.514,.417,.583,.167,1.5,28.8,14.8,8.6,0.7,1.1,18.8,22.6,93,106,-0.1,0.1,0.0,.017
66,MarShon Brooks,SG,25,GSW,7,15,24.3,.440,.385,.308,.154,7.4,28.6,18.2,0.0,3.3,0.0,0.0,43.3,96,97,0.0,0.0,0.0,.087
66,MarShon Brooks,SG,25,LAL,18,228,16.5,.578,.551,.295,.216,3.7,10.3,7.0,15.2,2.6,0.9,14.6,22.3,105,110,0.2,0.1,0.3,.072
67,Lorenzo Brown,SG,23,PHI,26,224,8.2,.349,.320,.151,.349,3.7,10.0,6.8,27.5,2.8,1.1,14.9,20.4,82,109,-0.5,0.2,-0.3,-0.068
68,Shannon Brown,SG,28,TOT,29,251,4.7,.419,.364,.318,.030,3.2,9.5,6.4,5.0,2.7,0.0,19.3,17.1,78,107,-0.5,0.3,-0.3,-0.050
